id,first_name,last_name,email,phone_number,hire_date,job_title,department,salary,manager_id,address,skills
258,Amy,Faulkner,jlivingston@example.com,(996)741-5684x155,2025-03-21,Customer Experience,Customer Support,68378,34.0,"{'street': '1889 Brown Lake', 'city': 'New Jennifer', 'state': 'GA', 'zip': '88403', 'country': 'USA'}","['Azure', 'Tableau']"
259,Levi,Anderson,dthomas@example.net,752.639.9928x5667,2018-05-13,Operations Analyst,Operations,86684,23.0,"{'street': '580 Blackwell Creek', 'city': 'East Emilychester', 'state': 'DE', 'zip': '47234', 'country': 'USA'}","['Scala', 'Python', 'R']"
260,Shannon,Allen,jonesanthony@example.org,6606571188,2022-03-31,Software Engineer,Engineering,93250,30.0,"{'street': '3757 Brown Lodge Apt. 809', 'city': 'Berrymouth', 'state': 'VI', 'zip': '59957', 'country': 'USA'}","['GCP', 'Excel']"
261,Andrew,Garrett,hawkinstroy@example.com,+1-893-203-5314x5293,2022-10-16,Auditor,Finance,99519,7.0,"{'street': '13027 Jonathan Loaf', 'city': 'Davidfort', 'state': 'MD', 'zip': '05412', 'country': 'USA'}","['Java', 'Kubernetes']"
262,Matthew,Leblanc,christopherfleming@example.com,874-590-2646,2019-08-23,Content Creator,Marketing,88721,22.0,"{'street': '87056 Carrie Tunnel', 'city': 'East Sierra', 'state': 'ND', 'zip': '85689', 'country': 'USA'}","['Java', 'Azure', 'GCP', 'PowerBI']"
263,Rodney,Morgan,parksmary@example.org,316-916-4962,2024-11-24,Sales Analyst,Sales,88013,32.0,"{'street': '35057 Annette Road', 'city': 'West Johnfurt', 'state': 'MS', 'zip': '50495', 'country': 'USA'}","['Spark', 'Docker', 'GCP', 'Tableau']"
264,Alexandra,Ashley,leebrian@example.net,(643)714-4947x8905,2021-10-08,Data Scientist,Engineering,93298,39.0,"{'street': '25190 Samantha Shoals Suite 343', 'city': 'New Ryanburgh', 'state': 'FM', 'zip': '13966', 'country': 'USA'}","['Excel', 'Python', 'Scala', 'AWS']"
265,Philip,Sellers,kellyjohn@example.net,302.728.4231,2023-07-08,Business Development,Sales,76263,8.0,"{'street': '549 Mckenzie Underpass', 'city': 'East Amber', 'state': 'PW', 'zip': '83588', 'country': 'USA'}","['R', 'Scala', 'Hadoop', 'Docker']"
266,Kurt,Torres,bergdeanna@example.com,001-675-609-2039x2062,2023-11-07,Customer Experience,Customer Support,64386,34.0,"{'street': '82598 Parker Route Apt. 110', 'city': 'Byrdbury', 'state': 'MH', 'zip': '15726', 'country': 'USA'}","['Azure', 'Docker', 'GCP', 'PowerBI', 'Hadoop']"
267,Bryan,Powell,timothywhite@example.net,3654741196,2015-06-29,Technical Support,Customer Support,82319,47.0,"{'street': '579 Paula Well Apt. 749', 'city': 'Ericton', 'state': 'KY', 'zip': '78607', 'country': 'USA'}","['Scala', 'Tableau', 'Spark']"
268,Ashley,Roth,markslisa@example.com,7118272793,2019-06-14,Customer Success,Customer Support,78227,7.0,"{'street': '83852 Anthony Center Apt. 409', 'city': 'Harperfurt', 'state': 'ID', 'zip': '32895', 'country': 'USA'}","['Java', 'Tableau', 'GCP']"
269,Kevin,Green,dacosta@example.com,972-844-4899,2020-07-17,Brand Strategist,Marketing,78183,32.0,"{'street': '1364 Watkins Turnpike Suite 876', 'city': 'South Shirleytown', 'state': 'FM', 'zip': '88577', 'country': 'USA'}","['Spark', 'Docker']"
270,Joshua,Sharp,hgiles@example.com,+1-355-635-2678x763,2017-02-06,Project Manager,Operations,81156,9.0,"{'street': '269 Frank Creek', 'city': 'New Dorothyfort', 'state': 'OK', 'zip': '12312', 'country': 'USA'}","['Spark', 'Scala', 'Azure', 'Java']"
271,Todd,White,kennedyjeffrey@example.org,347.821.4818x994,2021-06-08,Operations Analyst,Operations,82743,28.0,"{'street': '30445 Davis Ridges', 'city': 'New Jessicachester', 'state': 'RI', 'zip': '96277', 'country': 'USA'}","['SQL', 'Kubernetes']"
272,Amy,Wolfe,dlawrence@example.com,738.615.9613x8231,2017-08-09,Recruiter,HR,82860,16.0,"{'street': '24155 Richard Drive Apt. 564', 'city': 'Moniquestad', 'state': 'GA', 'zip': '39631', 'country': 'USA'}","['Azure', 'Excel', 'R', 'GCP', 'Spark']"
273,Michael,Martinez,fhowe@example.com,465.270.4195x8457,2017-08-19,HR Director,HR,79590,46.0,"{'street': '568 Price Courts Suite 515', 'city': 'Cervantestown', 'state': 'FL', 'zip': '66353', 'country': 'USA'}","['Scala', 'Tableau', 'SQL', 'Excel', 'Java']"
274,Margaret,Santiago,alewis@example.net,+1-804-890-7660,2019-09-17,Sales Manager,Sales,101719,34.0,"{'street': '2352 Pierce Ports Apt. 739', 'city': 'New James', 'state': 'KS', 'zip': '13120', 'country': 'USA'}","['SQL', 'Spark', 'Java', 'AWS']"
275,Michele,Ochoa,hgreene@example.org,001-981-722-1599x4805,2022-04-28,Engineering Manager,Engineering,100355,3.0,"{'street': '595 Webb Extensions', 'city': 'Roberttown', 'state': 'NC', 'zip': '03687', 'country': 'USA'}","['Docker', 'Java', 'Excel']"
276,Isabel,Dalton,nicole21@example.net,269.791.3749,2020-09-01,COO,Operations,76022,37.0,"{'street': '1389 Kristin Station', 'city': 'Odonnellport', 'state': 'ND', 'zip': '41698', 'country': 'USA'}","['SQL', 'R', 'Hadoop']"
277,John,Brown,david77@example.org,(589)877-1447,2019-02-17,Brand Strategist,Marketing,95802,27.0,"{'street': '54541 Wayne Valleys', 'city': 'South Joseph', 'state': 'MN', 'zip': '29260', 'country': 'USA'}","['Scala', 'Hadoop', 'Kubernetes', 'Spark', 'GCP']"
278,Gregory,Cook,walter27@example.net,649-339-7925x701,2017-09-21,Talent Acquisition,HR,93882,46.0,"{'street': '1814 Mathis Pines Suite 595', 'city': 'Sandramouth', 'state': 'OK', 'zip': '39492', 'country': 'USA'}","['Azure', 'Spark']"
279,Joseph,Sanchez,debbie24@example.net,729.875.0601x66807,2020-07-18,HR Manager,HR,73366,29.0,"{'street': '776 White Isle', 'city': 'Walkermouth', 'state': 'ID', 'zip': '04981', 'country': 'USA'}","['Spark', 'GCP', 'SQL', 'Kubernetes']"
280,Brandon,Brown,jacquelinecameron@example.org,831.667.6156x4603,2019-05-16,Business Analyst,Operations,83306,13.0,"{'street': '37389 Franklin Cape Suite 191', 'city': 'Port Alicia', 'state': 'VA', 'zip': '83542', 'country': 'USA'}","['Excel', 'Java', 'PowerBI', 'GCP', 'Docker']"
281,Brian,Huff,uhoward@example.org,251.957.3531,2019-11-17,QA Engineer,Engineering,101457,27.0,"{'street': '827 Rodriguez Light', 'city': 'Oliviaville', 'state': 'LA', 'zip': '25006', 'country': 'USA'}","['Tableau', 'GCP', 'Kubernetes']"
282,Scott,Butler,mcconnelljohn@example.net,(507)296-0414x64738,2022-10-15,HR Coordinator,HR,74598,13.0,"{'street': '24204 Graham Junctions', 'city': 'Christianburgh', 'state': 'NV', 'zip': '39280', 'country': 'USA'}","['R', 'Azure', 'Excel', 'SQL']"
283,Donald,Hoffman,hsnyder@example.com,775-469-3373,2019-02-03,Support Manager,Customer Support,82419,40.0,"{'street': '4021 Hendricks Ridges Suite 355', 'city': 'Lake Michael', 'state': 'PA', 'zip': '14145', 'country': 'USA'}","['Excel', 'PowerBI']"
284,Sarah,Figueroa,jmorris@example.net,+1-786-846-8668x929,2019-08-16,Financial Analyst,Finance,106610,22.0,"{'street': '5250 Ashley Dam', 'city': 'Jamesburgh', 'state': 'AS', 'zip': '95231', 'country': 'USA'}","['Docker', 'Scala']"
285,Allen,Palmer,alyssagibbs@example.com,(323)782-2696,2019-10-09,Sales Analyst,Sales,94908,48.0,"{'street': '068 Johnson Lodge Suite 176', 'city': 'North Gary', 'state': 'SC', 'zip': '82352', 'country': 'USA'}","['Spark', 'Tableau', 'Kubernetes', 'GCP', 'Excel']"
286,Stacey,Moore,williamthomas@example.net,+1-265-218-0524x24649,2024-03-17,Business Development,Sales,83467,6.0,"{'street': '619 Adam Rest Apt. 645', 'city': 'East Teresa', 'state': 'SC', 'zip': '44132', 'country': 'USA'}","['Docker', 'AWS', 'Python', 'Tableau', 'Kubernetes']"
287,Dean,Hendricks,colecatherine@example.com,831-966-8786x4013,2023-03-01,Finance Manager,Finance,83061,9.0,"{'street': '76975 Isabella Pike', 'city': 'Williamsbury', 'state': 'VI', 'zip': '12872', 'country': 'USA'}","['AWS', 'Docker', 'Hadoop', 'GCP', 'Kubernetes']"
288,Karen,Hunt,alicia79@example.com,5372682395,2023-12-17,Financial Analyst,Finance,96357,38.0,"{'street': '32901 Daniel Village Apt. 695', 'city': 'Lake Carmen', 'state': 'MS', 'zip': '30410', 'country': 'USA'}","['Hadoop', 'Kubernetes', 'Scala', 'Docker']"
289,Martha,Wright,martinraymond@example.org,4236724624,2016-09-26,Talent Acquisition,HR,81944,3.0,"{'street': '513 Brown Drives Suite 039', 'city': 'Douglasburgh', 'state': 'GA', 'zip': '86417', 'country': 'USA'}","['R', 'Spark', 'GCP', 'PowerBI']"
290,Brian,Sharp,cabrerazachary@example.org,432-789-1552,2020-10-19,Customer Experience,Customer Support,71684,37.0,"{'street': '707 Nicole Village Apt. 152', 'city': 'Jessicaville', 'state': 'PA', 'zip': '46332', 'country': 'USA'}","['Spark', 'Docker']"
291,Richard,Lopez,wprice@example.com,639-423-8335,2015-08-13,Customer Experience,Customer Support,81290,37.0,"{'street': '8569 Gibson Keys', 'city': 'Lake Laurie', 'state': 'OK', 'zip': '24866', 'country': 'USA'}","['R', 'Azure', 'SQL', 'Docker', 'Scala']"
292,Scott,Brown,fsandoval@example.com,675.959.6409,2024-12-01,HR Coordinator,HR,75798,29.0,"{'street': '94294 Williams Station Suite 359', 'city': 'East Heidiland', 'state': 'DE', 'zip': '87357', 'country': 'USA'}","['Docker', 'AWS']"
293,Robert,Johns,yjones@example.org,841-239-6387,2016-04-06,Engineering Manager,Engineering,109336,47.0,"{'street': '47815 Kristin Drive Suite 374', 'city': 'Lake Samantha', 'state': 'HI', 'zip': '57506', 'country': 'USA'}","['Hadoop', 'Tableau', 'Kubernetes', 'Spark']"
294,Amy,Berry,mclaughlintimothy@example.org,(551)445-7747x0876,2023-06-27,IT Support,IT,85026,5.0,"{'street': '49045 Jacqueline Mews Suite 561', 'city': 'Lake Ashley', 'state': 'VI', 'zip': '96663', 'country': 'USA'}","['Python', 'R', 'Docker']"
295,Donna,White,kristina01@example.com,001-579-539-6734x6820,2017-02-21,Support Manager,Customer Support,76437,11.0,"{'street': '322 Kelly Crescent', 'city': 'Jonesfort', 'state': 'PA', 'zip': '42276', 'country': 'USA'}","['SQL', 'Docker', 'R', 'Java']"
296,Thomas,Good,cdalton@example.net,7533074642,2018-03-06,Financial Analyst,Finance,111528,29.0,"{'street': '090 Thomas Bridge Suite 776', 'city': 'Port Kevin', 'state': 'MN', 'zip': '57898', 'country': 'USA'}","['Kubernetes', 'Java', 'AWS', 'GCP', 'R']"
297,Jade,Hamilton,steven11@example.org,441-929-6152,2024-04-20,Network Engineer,IT,87063,41.0,"{'street': '47856 Lopez Pike Suite 899', 'city': 'Mooretown', 'state': 'MO', 'zip': '54273', 'country': 'USA'}","['Scala', 'PowerBI', 'R']"
298,Bradley,Robinson,dhumphrey@example.net,560.562.2674x7233,2018-10-22,Finance Manager,Finance,107713,6.0,"{'street': '406 Cory Track', 'city': 'North Juanbury', 'state': 'WY', 'zip': '14692', 'country': 'USA'}","['Kubernetes', 'R', 'Docker', 'Spark', 'Hadoop']"
299,Kelly,Walker,bvang@example.net,(984)512-4402,2024-12-24,HR Coordinator,HR,67076,25.0,"{'street': '86119 Brock Track', 'city': 'Traceyborough', 'state': 'ME', 'zip': '84777', 'country': 'USA'}","['R', 'Kubernetes', 'Excel', 'Hadoop', 'AWS']"
300,Stephanie,Barron,ebrown@example.org,771.685.5242,2024-07-23,IT Manager,IT,81763,36.0,"{'street': '42382 Michael Hill', 'city': 'Hendersonton', 'state': 'HI', 'zip': '74550', 'country': 'USA'}","['Java', 'Tableau', 'Spark', 'Azure', 'SQL']"
301,Rachel,Glover,kimberlywillis@example.com,(284)322-5109x904,2021-02-12,Sales Analyst,Sales,85101,6.0,"{'street': '35369 Dunn Courts', 'city': 'Debrashire', 'state': 'PW', 'zip': '39459', 'country': 'USA'}","['Java', 'Hadoop', 'R']"
302,Teresa,Curry,stephaniemartin@example.com,734-371-0220x76007,2023-02-27,Marketing Manager,Marketing,72368,49.0,"{'street': '228 Deborah Divide', 'city': 'New Charlesside', 'state': 'OR', 'zip': '40145', 'country': 'USA'}","['Docker', 'Python']"
303,Christopher,Ramsey,suejones@example.org,236-251-3995x9031,2024-10-25,System Administrator,IT,93972,45.0,"{'street': '472 Mark Overpass Apt. 960', 'city': 'Lake Christopherville', 'state': 'WI', 'zip': '09535', 'country': 'USA'}","['R', 'GCP', 'Java']"
304,John,Russell,rachel37@example.net,902.311.5819x24445,2023-04-12,Sales Manager,Sales,78092,37.0,"{'street': '68124 Joshua Estates Suite 682', 'city': 'New Danielle', 'state': 'AK', 'zip': '87668', 'country': 'USA'}","['Hadoop', 'Java', 'PowerBI', 'AWS']"
305,Charles,Rivera,hunterangela@example.net,001-545-206-5657x4164,2023-08-06,SEO Specialist,Marketing,82240,25.0,"{'street': '53110 Turner Meadow', 'city': 'New Jamesport', 'state': 'WY', 'zip': '75312', 'country': 'USA'}","['Excel', 'R', 'SQL', 'PowerBI', 'Docker']"
306,Stephanie,Wheeler,gina43@example.org,(927)478-2521,2022-08-18,Sales Representative,Sales,94886,26.0,"{'street': '0226 Kayla Stravenue', 'city': 'Santiagoland', 'state': 'AL', 'zip': '21741', 'country': 'USA'}","['AWS', 'Python', 'Azure']"
307,Jennifer,Olson,uparker@example.net,468-777-8763x29757,2020-06-26,Business Development,Sales,93630,12.0,"{'street': '35424 Monroe Fork Apt. 318', 'city': 'West Adamport', 'state': 'MT', 'zip': '23338', 'country': 'USA'}","['Python', 'Java', 'SQL']"
308,Candice,Smith,keithleonard@example.com,(835)811-2528x90512,2025-01-24,Talent Acquisition,HR,71299,3.0,"{'street': '05558 John Pine Apt. 246', 'city': 'Wrightshire', 'state': 'RI', 'zip': '89973', 'country': 'USA'}","['AWS', 'PowerBI', 'Azure', 'SQL', 'GCP']"
309,Rachel,Coleman,heathermoreno@example.org,744-921-7478,2017-04-17,Technical Support,Customer Support,87103,12.0,"{'street': '950 Heather Knoll Apt. 435', 'city': 'Sarahchester', 'state': 'MO', 'zip': '17628', 'country': 'USA'}","['PowerBI', 'Java', 'R', 'SQL', 'Azure']"
310,Stephen,Ruiz,davidmitchell@example.org,+1-347-501-7878,2022-06-10,IT Support,IT,97888,22.0,"{'street': '13545 Henry Pike', 'city': 'West Jamie', 'state': 'TX', 'zip': '51890', 'country': 'USA'}","['Java', 'Hadoop', 'AWS', 'Python', 'SQL']"
311,Christopher,Miller,anne18@example.com,001-205-964-2166x66520,2021-02-11,Recruiter,HR,75165,14.0,"{'street': '74940 Steven Divide', 'city': 'Patricktown', 'state': 'UT', 'zip': '89477', 'country': 'USA'}","['Spark', 'Azure', 'Scala', 'Hadoop', 'PowerBI']"
312,Jonathan,Solomon,misty95@example.org,+1-232-396-4603,2018-01-05,IT Manager,IT,97121,47.0,"{'street': '56370 Timothy Run', 'city': 'Deanfort', 'state': 'MS', 'zip': '00771', 'country': 'USA'}","['Python', 'Kubernetes', 'Scala', 'Excel']"
313,Ronald,Reyes,gmullins@example.com,8263678691,2016-09-24,Brand Strategist,Marketing,100136,13.0,"{'street': '576 Owens Alley', 'city': 'Mcmahonton', 'state': 'WI', 'zip': '84919', 'country': 'USA'}","['Hadoop', 'Kubernetes', 'Python']"
314,Michael,Mcgee,carlsoncarrie@example.com,7555166975,2016-12-24,HR Director,HR,90969,4.0,"{'street': '09106 Jennifer Rapid Apt. 195', 'city': 'Markborough', 'state': 'NM', 'zip': '71680', 'country': 'USA'}","['Hadoop', 'PowerBI', 'Java', 'Python']"
315,Cameron,Gonzalez,ucampbell@example.com,+1-702-446-6796x62396,2022-08-14,Finance Manager,Finance,100984,47.0,"{'street': '801 Barr Junction Apt. 400', 'city': 'Millermouth', 'state': 'SD', 'zip': '57247', 'country': 'USA'}","['Java', 'Tableau', 'GCP', 'Docker']"
316,Jessica,Robbins,jonathan11@example.org,409-703-4042,2017-07-25,HR Director,HR,80530,30.0,"{'street': '41973 Emily Mews Suite 089', 'city': 'Glennburgh', 'state': 'SC', 'zip': '82739', 'country': 'USA'}","['Tableau', 'GCP', 'Scala', 'Azure']"
317,Brandi,Maldonado,kristin96@example.net,+1-564-617-1188x97214,2021-07-17,Customer Experience,Customer Support,72920,44.0,"{'street': '840 Osborne Creek', 'city': 'East Henryton', 'state': 'NM', 'zip': '85362', 'country': 'USA'}","['Excel', 'Java']"
318,Aaron,Pope,dawn32@example.org,347-380-7741x021,2020-06-05,Recruiter,HR,78567,28.0,"{'street': '16188 Jonathan Port Apt. 320', 'city': 'Jeffreyshire', 'state': 'CT', 'zip': '10057', 'country': 'USA'}","['Python', 'Excel', 'AWS']"
319,Kevin,Jones,melissa80@example.com,001-503-453-5118x1840,2015-11-14,Marketing Specialist,Marketing,88573,12.0,"{'street': '5028 Alex Shore Suite 952', 'city': 'Port Michael', 'state': 'AR', 'zip': '48234', 'country': 'USA'}","['Kubernetes', 'AWS', 'GCP', 'Tableau']"
320,Donna,Martinez,donald57@example.com,7016230359,2022-11-09,QA Engineer,Engineering,102025,35.0,"{'street': '04784 Chad Walk', 'city': 'South Clarence', 'state': 'CO', 'zip': '03007', 'country': 'USA'}","['Scala', 'Python']"
321,Sandra,Frost,annecisneros@example.com,+1-802-252-9910x78408,2021-10-27,Recruiter,HR,72126,21.0,"{'street': '7233 Cassandra Square Suite 071', 'city': 'Castillomouth', 'state': 'FM', 'zip': '80765', 'country': 'USA'}","['Python', 'AWS', 'Azure', 'Scala']"
322,Charles,Smith,lorijackson@example.org,+1-241-985-2229x63790,2019-11-13,IT Manager,IT,110649,18.0,"{'street': '678 Liu Rue Apt. 771', 'city': 'Thorntonchester', 'state': 'AL', 'zip': '74943', 'country': 'USA'}","['Hadoop', 'Scala']"
323,Maria,Greene,don01@example.org,2032342555,2021-02-07,SEO Specialist,Marketing,78144,35.0,"{'street': '86371 Chapman Common Apt. 507', 'city': 'West Heatherland', 'state': 'NE', 'zip': '71926', 'country': 'USA'}","['Hadoop', 'GCP']"
324,William,Short,edward53@example.com,(797)771-7392,2024-08-21,Customer Success,Customer Support,63951,19.0,"{'street': '846 Jessica Square', 'city': 'Lake Toddberg', 'state': 'DE', 'zip': '56862', 'country': 'USA'}","['SQL', 'Python', 'PowerBI', 'Scala']"
325,Danielle,Parker,antoniobrooks@example.net,735-352-0842x07329,2022-07-02,Financial Analyst,Finance,84428,29.0,"{'street': '9041 Frank Stravenue', 'city': 'Lake Joshua', 'state': 'AR', 'zip': '29137', 'country': 'USA'}","['Tableau', 'Azure', 'Java']"
326,Henry,Gonzalez,katelyngarcia@example.org,846-586-8508x0655,2024-10-06,Network Engineer,IT,84081,26.0,"{'street': '16035 Burns Lodge', 'city': 'West Rachelhaven', 'state': 'LA', 'zip': '77741', 'country': 'USA'}","['Azure', 'Excel']"
327,Janet,Bailey,obrienmichael@example.net,(662)302-6480x420,2022-05-14,Content Creator,Marketing,85614,40.0,"{'street': '552 Kenneth Isle', 'city': 'Christopherview', 'state': 'IN', 'zip': '58208', 'country': 'USA'}","['Java', 'SQL', 'Spark', 'PowerBI']"
328,Courtney,Smith,bonniedavis@example.com,955.383.6380x1404,2023-11-09,Business Analyst,Operations,73626,30.0,"{'street': '789 Leslie Shoals', 'city': 'South John', 'state': 'OR', 'zip': '95854', 'country': 'USA'}","['Python', 'Azure']"
329,Elaine,Hopkins,whitecolleen@example.org,(966)212-3579x6641,2016-09-24,HR Coordinator,HR,79541,7.0,"{'street': '4738 Maria Shore', 'city': 'Cooperville', 'state': 'OH', 'zip': '30936', 'country': 'USA'}","['GCP', 'Azure', 'Scala', 'PowerBI']"
330,Traci,Cain,pmitchell@example.com,409-468-0621,2017-01-21,DevOps Engineer,Engineering,110269,46.0,"{'street': '384 Brown Corners Suite 296', 'city': 'Munozborough', 'state': 'DC', 'zip': '11268', 'country': 'USA'}","['AWS', 'SQL', 'PowerBI', 'Kubernetes', 'Docker']"
331,Mark,Lyons,martinezdavid@example.org,593-865-0473,2017-01-16,Support Manager,Customer Support,73947,14.0,"{'street': '8415 Jennifer Mountain Apt. 502', 'city': 'New Valerieside', 'state': 'PW', 'zip': '08448', 'country': 'USA'}","['Kubernetes', 'PowerBI']"
332,Michele,Garcia,joseph23@example.org,662-799-0059,2016-07-16,Content Creator,Marketing,89966,15.0,"{'street': '88714 Mitchell Canyon Suite 051', 'city': 'Denisestad', 'state': 'CA', 'zip': '59339', 'country': 'USA'}","['R', 'Hadoop', 'Java', 'GCP', 'AWS']"
333,Michael,Cook,erinwyatt@example.org,719-249-4318x523,2017-04-02,Business Analyst,Operations,94383,41.0,"{'street': '3661 Alexander Courts Suite 051', 'city': 'South Jenniferside', 'state': 'CT', 'zip': '57654', 'country': 'USA'}","['GCP', 'Tableau']"
334,Lisa,Lane,michael60@example.com,294.822.9532x59047,2023-05-06,Content Creator,Marketing,84659,37.0,"{'street': '19164 Mitchell Trace Apt. 880', 'city': 'New Connieborough', 'state': 'PA', 'zip': '93483', 'country': 'USA'}","['Spark', 'Docker', 'AWS', 'R', 'Python']"
335,Kirk,Strong,garzakaren@example.com,334.451.3802x026,2019-10-04,IT Support,IT,108457,32.0,"{'street': '8541 Lawson Corners Suite 327', 'city': 'West Johnton', 'state': 'CO', 'zip': '39650', 'country': 'USA'}","['Excel', 'Docker', 'Tableau']"
336,Travis,Perkins,stephen85@example.com,2972331070,2021-10-02,SEO Specialist,Marketing,77181,27.0,"{'street': '436 Graves Landing', 'city': 'Lake Amanda', 'state': 'VA', 'zip': '96741', 'country': 'USA'}","['Scala', 'SQL']"
337,Dawn,Mejia,adam75@example.com,(355)733-0335x133,2017-04-28,Accountant,Finance,95729,11.0,"{'street': '40002 Amy Plains Suite 713', 'city': 'Campbellchester', 'state': 'VI', 'zip': '01462', 'country': 'USA'}","['AWS', 'Hadoop']"
338,Joshua,Murray,macknicole@example.com,+1-252-396-9415x297,2020-03-16,Customer Success,Customer Support,73990,35.0,"{'street': '201 Harris Trafficway', 'city': 'Port Kristina', 'state': 'MP', 'zip': '40725', 'country': 'USA'}","['Python', 'Excel', 'AWS', 'Hadoop', 'R']"
339,Lisa,Powell,kevin72@example.net,001-343-795-2934x9810,2022-05-13,Support Agent,Customer Support,68546,5.0,"{'street': '96218 Brady Inlet Apt. 630', 'city': 'East Katherine', 'state': 'FM', 'zip': '29714', 'country': 'USA'}","['R', 'Spark', 'Azure']"
340,Joshua,Lopez,ramoswilliam@example.com,848-451-6073,2015-10-20,Sales Representative,Sales,93935,21.0,"{'street': '955 Flowers Square', 'city': 'Diazfurt', 'state': 'OR', 'zip': '29811', 'country': 'USA'}","['Scala', 'Java', 'AWS', 'SQL']"
341,Jonathan,Price,james33@example.com,688-613-0039x079,2017-08-12,Support Agent,Customer Support,77237,1.0,"{'street': '635 Elizabeth Crossing', 'city': 'Woodberg', 'state': 'SD', 'zip': '74738', 'country': 'USA'}","['Hadoop', 'R']"
342,Casey,Rodgers,turnerkeith@example.org,001-613-261-1039x3809,2022-10-31,Network Engineer,IT,103257,32.0,"{'street': '609 Smith Port', 'city': 'Rogersside', 'state': 'IL', 'zip': '10114', 'country': 'USA'}","['GCP', 'Kubernetes', 'SQL']"
343,Blake,Miller,thomas06@example.net,791-532-9907x4761,2021-10-19,Engineering Manager,Engineering,95287,19.0,"{'street': '8724 Nathaniel Locks Apt. 722', 'city': 'Port Kenneth', 'state': 'VI', 'zip': '05126', 'country': 'USA'}","['Azure', 'Excel', 'Tableau']"
344,Jennifer,Nguyen,wilsonshannon@example.com,001-397-343-2728x4533,2018-12-31,Sales Analyst,Sales,99375,15.0,"{'street': '48852 Natalie Circle Suite 708', 'city': 'Stephanieland', 'state': 'UT', 'zip': '31792', 'country': 'USA'}","['SQL', 'Docker', 'Tableau']"
345,Jamie,Frye,kimberly61@example.net,(259)665-1236x90980,2019-02-21,IT Manager,IT,110217,41.0,"{'street': '45790 Scott Bypass', 'city': 'Cunninghamport', 'state': 'WV', 'zip': '47630', 'country': 'USA'}","['GCP', 'Java', 'AWS']"
346,Sally,Brown,adamsashley@example.net,+1-343-472-9799x1189,2021-12-16,Software Engineer,Engineering,101315,32.0,"{'street': '58203 Gonzalez Place Suite 480', 'city': 'Browninghaven', 'state': 'TN', 'zip': '34891', 'country': 'USA'}","['GCP', 'Kubernetes', 'SQL', 'Java']"
347,Melissa,Allen,amydavis@example.com,(457)308-7387x63201,2019-11-21,Finance Manager,Finance,95178,16.0,"{'street': '3980 Adkins Common', 'city': 'Stewartberg', 'state': 'CA', 'zip': '62166', 'country': 'USA'}","['GCP', 'R']"
348,Lisa,Smith,dphillips@example.net,(499)748-0476x46222,2016-04-17,Support Manager,Customer Support,77790,10.0,"{'street': '87627 Hernandez Square', 'city': 'Gilesberg', 'state': 'MA', 'zip': '84829', 'country': 'USA'}","['PowerBI', 'Spark']"
349,Victor,Willis,christopherburton@example.net,596-658-7169,2019-09-26,Support Manager,Customer Support,71493,27.0,"{'street': '5046 Clark Extensions', 'city': 'New Nicole', 'state': 'RI', 'zip': '48123', 'country': 'USA'}","['Tableau', 'Excel', 'Hadoop']"
350,Michele,Williams,vpayne@example.net,580-259-4480,2015-10-04,Brand Strategist,Marketing,97363,31.0,"{'street': '2058 Andrew Center', 'city': 'Lorimouth', 'state': 'OH', 'zip': '76165', 'country': 'USA'}","['GCP', 'Hadoop', 'Excel', 'Tableau', 'PowerBI']"
351,Ryan,Hernandez,awalsh@example.com,001-735-567-7145x51420,2022-07-23,Marketing Specialist,Marketing,84705,50.0,"{'street': '72904 Kimberly Trace', 'city': 'Christianside', 'state': 'NE', 'zip': '47389', 'country': 'USA'}","['Excel', 'Docker', 'PowerBI', 'AWS', 'Hadoop']"
352,Austin,Phillips,terrywalker@example.com,(871)912-0447x61593,2019-10-28,Account Executive,Sales,96734,17.0,"{'street': '13685 Chelsea Square Apt. 564', 'city': 'New Catherinemouth', 'state': 'ND', 'zip': '95587', 'country': 'USA'}","['GCP', 'SQL', 'Docker', 'Azure', 'Kubernetes']"
353,Maureen,Snyder,dylanvasquez@example.net,508.567.8391,2024-03-20,Marketing Specialist,Marketing,77907,21.0,"{'street': '6922 Smith Falls', 'city': 'New Emily', 'state': 'AR', 'zip': '56566', 'country': 'USA'}","['Excel', 'SQL']"
354,Rebecca,White,rosebrian@example.org,+1-404-998-8984,2023-06-18,Brand Strategist,Marketing,74400,14.0,"{'street': '02735 Dominique Estate Suite 387', 'city': 'Combsmouth', 'state': 'CO', 'zip': '81567', 'country': 'USA'}","['Scala', 'Hadoop', 'GCP', 'SQL', 'Docker']"
355,Brandon,Perez,nsolis@example.org,(300)710-1079x4984,2024-07-25,IT Manager,IT,91297,41.0,"{'street': '022 Travis Course', 'city': 'Christopherland', 'state': 'SD', 'zip': '43799', 'country': 'USA'}","['Python', 'Azure']"
356,Jonathan,Anderson,cristianmiller@example.org,(911)759-4809x284,2021-04-01,Operations Analyst,Operations,84276,8.0,"{'street': '4601 Pamela Cove', 'city': 'Vegamouth', 'state': 'WA', 'zip': '65731', 'country': 'USA'}","['Docker', 'Azure', 'Hadoop']"
357,Raymond,Johnson,jennifer46@example.com,(549)203-5814x2870,2021-02-16,Talent Acquisition,HR,77249,15.0,"{'street': '44948 Frazier Vista Suite 515', 'city': 'Patrickton', 'state': 'NV', 'zip': '90504', 'country': 'USA'}","['Tableau', 'Scala', 'PowerBI']"
